Decision ID,Topic,Status,Tier,Owner,Dependencies,Current Recommendation,RFC File,Prototype Required,Target Review Date,Source Topics
IFC5-031,Metadata and Custom Data,Idea,3 - Domain Modeling,TBD,"IFC5-005, IFC5-011",TBD,RFC-IFC5-031-metadata-custom-data.md,No,,Topic 38
IFC5-018,Backward Compatibility and Round-Tripping,Idea,4 - Process & Governance,TBD,"IFC5-007, IFC5-008, IFC5-009",TBD,RFC-IFC5-018-backward-compatibility.md,Yes,,Topic 39
IFC5-019,Validation Framework,Idea,4 - Process & Governance,TBD,"IFC5-002, IFC5-012",TBD,RFC-IFC5-019-validation-framework.md,No,,"Topics 40, 41"
IFC5-020,Model Views and Exchange Requirements,Idea,4 - Process & Governance,TBD,IFC5-019,TBD,RFC-IFC5-020-model-views-exchange.md,No,,Topic 42
IFC5-021,Federation and External References,Idea,4 - Process & Governance,TBD,"IFC5-003, IFC5-004",TBD,RFC-IFC5-021-federation-external-references.md,No,,Topic 45
IFC5-022,Versioning and Schema Evolution,Idea,4 - Process & Governance,TBD,IFC5-012,TBD,RFC-IFC5-022-versioning-schema-evolution.md,No,,Topic 44
IFC5-032,Extensibility,Idea,4 - Process & Governance,TBD,"IFC5-012, IFC5-022",TBD,RFC-IFC5-032-extensibility.md,No,,Topic 43
IFC5-033,Change / Transactions / Collaboration,Idea,4 - Process & Governance,TBD,"IFC5-003, IFC5-021",TBD,RFC-IFC5-033-change-collaboration.md,No,,Topic 46
IFC5-034,Performance / Scale / Database Implications,Idea,4 - Process & Governance,TBD,"IFC5-006, IFC5-007",TBD,RFC-IFC5-034-performance-scale-database.md,Yes,,"Topics 47, 48"
IFC5-035,Web and Linked-Data Alignment,Idea,4 - Process & Governance,TBD,"IFC5-003, IFC5-005",TBD,RFC-IFC5-035-web-linked-data.md,No,,Topic 49
IFC5-036,AI and Machine-Readability,Idea,4 - Process & Governance,TBD,"IFC5-003, IFC5-007",TBD,RFC-IFC5-036-ai-machine-readability.md,No,,Topic 50
IFC5-037,Security and Trust,Idea,4 - Process & Governance,TBD,"IFC5-012, IFC5-021",TBD,RFC-IFC5-037-security-trust.md,No,,Topic 51
IFC5-038,Governance / Conformance / Interoperability Testing,Idea,4 - Process & Governance,TBD,"IFC5-019, IFC5-020, IFC5-022",TBD,RFC-IFC5-038-governance-conformance.md,No,,"Topics 52, 53"
